frame,can_iface,motor_id,position_rad,elapsed_ms,speed_rad_s,accel_rad_s2
66,can3,13,0.005257,1317,1.600,0.500
66,can3,14,-0.001109,1317,1.600,0.500
66,can3,15,0.000155,1317,1.600,0.500
66,can3,16,0.003087,1317,1.600,0.500
67,can2,3,0.000000,1337,1.600,0.500
67,can2,4,0.000000,1337,1.600,0.500
67,can2,5,0.000000,1337,1.600,0.500
67,can2,6,0.000000,1337,1.600,0.500
67,can3,13,0.005336,1337,1.600,0.500
67,can3,14,-0.001125,1337,1.600,0.500
67,can3,15,0.000158,1337,1.600,0.500
67,can3,16,0.003134,1337,1.600,0.500
68,can2,3,0.000000,1357,1.600,0.500
68,can2,4,0.000000,1357,1.600,0.500
68,can2,5,0.000000,1357,1.600,0.500
68,can2,6,0.000000,1357,1.600,0.500
68,can3,13,0.005416,1357,1.600,0.500
68,can3,14,-0.001142,1357,1.600,0.500
68,can3,15,0.000160,1357,1.600,0.500
68,can3,16,0.003181,1357,1.600,0.500
69,can2,3,0.000000,1377,1.600,0.500
69,can2,4,0.000000,1377,1.600,0.500
69,can2,5,0.000000,1377,1.600,0.500
69,can2,6,0.000000,1377,1.600,0.500
69,can3,13,0.005496,1377,1.600,0.500
69,can3,14,-0.001159,1377,1.600,0.500
69,can3,15,0.000162,1377,1.600,0.500
69,can3,16,0.003228,1377,1.600,0.500
70,can2,3,0.000000,1397,1.600,0.500
70,can2,4,0.000000,1397,1.600,0.500
70,can2,5,0.000000,1397,1.600,0.500
70,can2,6,0.000000,1397,1.600,0.500
70,can3,13,0.005575,1397,1.600,0.500
70,can3,14,-0.001176,1397,1.600,0.500
70,can3,15,0.000165,1397,1.600,0.500
70,can3,16,0.003274,1397,1.600,0.500
71,can2,3,0.000000,1417,1.600,0.500
71,can2,4,0.000000,1417,1.600,0.500
71,can2,5,0.000000,1417,1.600,0.500
71,can2,6,0.000000,1417,1.600,0.500
71,can3,13,0.005655,1417,1.600,0.500
71,can3,14,-0.001193,1417,1.600,0.500
71,can3,15,0.000167,1417,1.600,0.500
71,can3,16,0.003321,1417,1.600,0.500
72,can2,3,0.000000,1437,1.600,0.500
72,can2,4,0.000000,1437,1.600,0.500
72,can2,5,0.000000,1437,1.600,0.500
72,can2,6,0.000000,1437,1.600,0.500
72,can3,13,0.005734,1437,1.600,0.500
72,can3,14,-0.001209,1437,1.600,0.500
72,can3,15,0.000169,1437,1.600,0.500
72,can3,16,0.003368,1437,1.600,0.500
73,can2,3,0.000000,1457,1.600,0.500
73,can2,4,0.000000,1457,1.600,0.500
73,can2,5,0.000000,1457,1.600,0.500
73,can2,6,0.000000,1457,1.600,0.500
73,can3,13,0.005814,1457,1.600,0.500
73,can3,14,-0.001226,1457,1.600,0.500
73,can3,15,0.000172,1457,1.600,0.500
73,can3,16,0.003415,1457,1.600,0.500
74,can2,3,0.000000,1477,1.600,0.500
74,can2,4,0.000000,1477,1.600,0.500
74,can2,5,0.000000,1477,1.600,0.500
74,can2,6,0.000000,1477,1.600,0.500
74,can3,13,0.005894,1477,1.600,0.500
74,can3,14,-0.001243,1477,1.600,0.500
74,can3,15,0.000174,1477,1.600,0.500
74,can3,16,0.003462,1477,1.600,0.500
75,can2,3,0.000000,1497,1.600,0.500
75,can2,4,0.000000,1497,1.600,0.500
75,can2,5,0.000000,1497,1.600,0.500
75,can2,6,0.000000,1497,1.600,0.500
75,can3,13,0.005973,1497,1.600,0.500
75,can3,14,-0.001260,1497,1.600,0.500
75,can3,15,0.000176,1497,1.600,0.500
75,can3,16,0.003508,1497,1.600,0.500
76,can2,3,0.000000,1517,1.600,0.500
76,can2,4,0.000000,1517,1.600,0.500
76,can2,5,0.000000,1517,1.600,0.500
